Borough,Month,Year,Cars_And_Taxis,Buses_and_Coaches,Motorbikes,HGVs,LGVs
Barking and Dagenham,1,2018,27.178718621093577,0.8054545059011222,1.080315384903646,1.8248990893527182,6.796893995573894
Barking and Dagenham,1,2019,26.47465999904591,0.6765908561404749,1.0000024584850387,1.9556467171472567,6.764808771326497
Barking and Dagenham,1,2020,26.98454487420823,0.7704463587639434,1.0585056382058426,1.8563233492173972,6.788535411302176
Barking and Dagenham,1,2021,27.090186514284003,0.7885193082452232,1.0698672140107195,1.8379397267787991,6.793152454679633
Barking and Dagenham,2,2018,26.945674367216682,0.7626484694585879,1.0520110334919575,1.8645693066218705,6.787352308432493
Barking and Dagenham,2,2019,26.640251796656067,0.7072311673339958,1.0187589267920654,1.9305031803129191,6.7722034263085655
Barking and Dagenham,2,2020,27.999084574119593,0.9556281428350595,1.1737510549092267,1.6771116212342283,6.8357374151178485
Barking and Dagenham,2,2021,27.17286131915501,0.8050365407955199,1.0800975447751944,1.836104153246983,6.799125646578301
Barking and Dagenham,3,2018,26.96123978584354,0.7650467589005154,1.0553121882562184,1.8625365050324272,6.787268500803854
Barking and Dagenham,3,2019,28.50305412265643,1.0488174165027813,1.231278182554291,1.61226794805777,6.859940504140375
Barking and Dagenham,3,2020,28.449077444376766,1.0378177923995653,1.2255151871260872,1.5941225881745555,6.857089662422181
Barking and Dagenham,3,2021,28.12901465721084,0.9800152692745475,1.1881955961926154,1.6404075030590082,6.841148256200746
Barking and Dagenham,4,2018,27.426593307782174,0.85016300930798,1.1101267536055985,1.7930805806400902,6.810715473090865
Barking and Dagenham,4,2019,26.949147582423464,0.7643995848143462,1.0552982892731668,1.878281640957692,6.789129576857924
Barking and Dagenham,4,2020,29.12192088871716,1.1613366443201425,1.3015590012420313,1.4459372348235149,6.889212130746314
Barking and Dagenham,4,2021,30.38301510319336,1.393051572269045,1.4456049741632448,1.2761588952617258,6.9474824459986575
Barking and Dagenham,5,2018,27.56682272740632,0.8771649525956029,1.1243382199436494,1.7419027873611805,6.815747556979497
Barking and Dagenham,5,2019,27.52859955056186,0.8711378491011997,1.1200343774158281,1.7717530184865338,6.816007555418406
Barking and Dagenham,5,2020,31.653615216637007,1.625473941035535,1.5916840013422362,0.9899118516727621,7.010300975185393
Barking and Dagenham,5,2021,31.210437215849804,1.5476249859099076,1.5423307022963682,1.1571186265752238,6.988242598527784
Barking and Dagenham,6,2018,29.625501810931564,1.2538832077174653,1.3599902626769877,1.3634241479507587,6.9144713872652
Barking and Dagenham,6,2019,29.435100257956737,1.2186064353492048,1.3379004021955505,1.4339489952585756,6.902423177784693
Barking and Dagenham,6,2020,30.847569804942058,1.4783002712701543,1.5003429313908214,1.1447762830892207,6.970218740025874
Barking and Dagenham,6,2021,30.720328415784312,1.4546931326011414,1.483085303040868,1.1407568480247343,6.964396607647539
Barking and Dagenham,7,2018,27.509244626417566,0.8671166520968655,1.118900404454652,1.7737043544808428,6.815196187994674
Barking and Dagenham,7,2019,30.356858652938577,1.3887409068777659,1.4414969153721087,1.2466188484072416,6.948022641845663
Barking and Dagenham,7,2020,32.54282376281714,1.791027706707244,1.6922467914069559,0.911228998969577,7.048866425645306
Barking and Dagenham,7,2021,29.792227878782203,1.285161583127895,1.3784982886237809,1.337599841306493,6.920831860969472
Barking and Dagenham,8,2018,28.15251821579425,0.9850354935927207,1.1912999369724753,1.6695142268320848,6.845278438211212
Barking and Dagenham,8,2019,29.84267079877073,1.2913675774147373,1.3828237186268095,1.3711557681532243,6.924070668537987
Barking and Dagenham,8,2020,30.117492553244233,1.3439100204986285,1.4161458579421968,1.2788618285718332,6.93320286547922
Barking and Dagenham,8,2021,31.600310768059067,1.619713746379799,1.5881521601112043,1.0117614888939597,7.004657582291744
Barking and Dagenham,9,2018,28.295649234297613,1.0104138827503173,1.2089862766120598,1.6163478497717028,6.850223650515439
Barking and Dagenham,9,2019,29.541629185840744,1.2398630987233799,1.351795184024796,1.3727296916829794,6.909231660573845
Barking and Dagenham,9,2020,28.928359392105634,1.125420167142348,1.2814456879196667,1.4786487693627843,6.879497626288988
Barking and Dagenham,9,2021,29.180515957957954,1.1715272649181772,1.30915207147889,1.4506778079307796,6.891226708557055
Barking and Dagenham,10,2018,27.357390158098724,0.8374469022666139,1.100669936395064,1.7856829057071715,6.806506484533833
Barking and Dagenham,10,2019,27.955432813377794,0.9479469451784013,1.169339774183429,1.6738041269477715,6.8332095197837255
Barking and Dagenham,10,2020,28.405553249153943,1.0309834265233877,1.2203924627368516,1.596116037635445,6.854827774848597
Barking and Dagenham,10,2021,28.34261472564623,1.0194817513957815,1.2132854878453305,1.6100912923359691,6.8510962258272645
Barking and Dagenham,11,2018,27.199774342291203,0.8103816144454027,1.0825342016161468,1.8366624545073518,6.799012563038367
Barking and Dagenham,11,2019,26.560834937945902,0.6910834157926047,1.0103658074875788,1.9408724004099414,6.768184284326479
Barking and Dagenham,11,2020,27.2817495684172,0.8234166351267205,1.0923907911889905,1.81286792661844,6.803148325552829
Barking and Dagenham,11,2021,26.867644986688973,0.7479715116669561,1.0457579436112228,1.8789114481710063,6.782046551422854
Barking and Dagenham,12,2018,26.95501983272124,0.7633309259097298,1.0546672982486074,1.8617466115092545,6.7872747084943015
Barking and Dagenham,12,2019,26.991514435424286,0.7712265487291587,1.0580711857478922,1.8550288656029603,6.787713229379173
Barking and Dagenham,12,2020,27.36880199803332,0.8405684742232544,1.1023065434797905,1.7868675796942994,6.806284939035033
Barking and Dagenham,12,2021,27.332131027199747,0.8326846520200777,1.0978765045716894,1.7898229423235876,6.804781484826397
City of London,1,2018,25.14643016497093,0.4323842030227502,0.8477919479074272,2.213846983224336,6.702023877452378
City of London,1,2019,25.35069982062093,0.46969371578242963,0.8713825027526209,2.174414005868237,6.711206689723853
City of London,1,2020,25.45018715588894,0.4880153555584693,0.882591900611011,2.1547906525475176,6.716155492417123
City of London,1,2021,26.28825470004551,0.6413666562239294,0.9779081353235531,1.9914216751902227,6.755572320742777
City of London,2,2018,25.145988535383225,0.432465321241068,0.8481281396484408,2.213796123914876,6.701733252124784
City of London,2,2019,25.141091782027992,0.4314868435518987,0.8473886623934076,2.2151816281598258,6.701447690505875
City of London,2,2020,25.826519256950828,0.557496894251446,0.9261827927765749,2.0815331299843285,6.733951369105651
City of London,2,2021,26.523752452405272,0.6853753310763021,1.0056140398781501,1.9453281957090314,6.766603401370523
City of London,3,2018,25.388900356292307,0.4766384535110929,0.8755703955103773,2.16736377302187,6.713297864959096
City of London,3,2019,25.335083222125682,0.46700265614386877,0.8693838346748549,2.1772222050694032,6.71040094238272
City of London,3,2020,26.157976761355844,0.6176453517040962,0.9637419119981229,2.021649426797034,6.750053667435011
City of London,3,2021,26.58643038318735,0.6967372516901946,1.012034588912831,1.9343856144200904,6.769020723832215
City of London,4,2018,25.20160044401965,0.4427310685632063,0.8545360698370711,2.2030753724275725,6.704075921744288
City of London,4,2019,25.15872519799173,0.4346386614153113,0.849128984718081,2.211271160987293,6.70202437539972
City of London,4,2020,27.02427996233798,0.7756745754369647,1.0627725394784528,1.8540225438021862,6.78997615083654
City of London,4,2021,26.81682317748261,0.7387951900577031,1.0387429467462477,1.8932592518629543,6.780330199992739
City of London,5,2018,25.104623847215006,0.42493140320705736,0.8431683637805297,2.221925279052968,6.699612599183113
